ID,TEMP,REL HUMIDITY,DEW POINT,CO2,CH4,SO2,NH3,O3,O2,PM 2_5,PM_10,Avg_AQI
928,28.07,72.65,19.25,0.1773,1.2364,0.6928,0.6665,1.1637,0.0268,1.0827,164,26.2742
930,28.73,69.86,19.24,0.169,1.2452,0.6932,0.6682,1.865,0.027,1.2122,173,26.97361818
931,28.78,69.81,19.27,0.1716,1.2478,0.6896,0.672,1.5862,0.027,1.1926,173,26.94970909
932,28.78,69.75,19.26,0.1689,1.2478,0.689,0.6685,1.4813,0.027,1.1836,173,26.93237273
933,28.82,69.67,19.27,0.1703,1.2461,0.6938,0.6713,1.3488,0.027,1.1751,172,26.82658182
934,28.83,69.67,19.28,0.1677,1.2474,0.6909,0.6722,1.2905,0.027,1.1734,172,26.82264545
935,28.84,69.61,19.28,0.1695,1.2486,0.6871,0.674,1.2509,0.027,1.1709,171,26.72345455
936,28.84,69.58,19.27,0.1688,1.1943,0.6907,0.6729,1.2241,0.0269,1.1689,171,26.71241818
937,28.84,69.52,19.26,0.1723,1.248,0.6926,0.6716,1.2054,0.0269,1.1687,170,26.61868182
938,28.87,69.52,19.28,0.1706,1.2477,0.688,0.6725,1.1942,0.027,1.1673,170,26.62157273
939,28.87,69.49,19.28,0.1676,1.2474,0.6959,0.6678,1.1876,0.027,1.1673,169,26.52732727
940,28.89,69.47,19.29,0.1711,1.2486,0.6907,0.6695,1.1844,0.027,1.1684,169,26.52815455
941,28.9,69.44,19.29,0.166,1.2472,0.6887,0.6715,1.1811,0.0269,1.1671,168,26.43440909
942,28.91,69.44,19.3,0.1704,1.2483,0.6913,0.6773,1.1792,0.0269,1.1671,167,26.34640909
943,28.91,69.41,19.29,0.1672,1.2477,0.6944,0.6693,1.1773,0.027,1.1676,167,26.34186364
944,28.91,69.41,19.29,0.1702,1.2472,0.6862,0.6694,1.1767,0.0269,1.1673,167,26.34126364
945,28.92,69.38,19.29,0.1679,1.2461,0.694,0.669,1.1755,0.027,1.1663,167,26.33961818
946,28.92,69.35,19.29,0.1692,1.2475,0.6926,0.6731,1.1755,0.0269,1.167,167,26.33743636
947,28.93,69.35,19.3,0.1693,1.2483,0.6921,0.6697,1.1734,0.0269,1.1663,166,26.24781818
948,28.93,69.32,19.29,0.168,1.2447,0.6905,0.6671,1.1725,0.027,1.1651,166,26.24317273
949,28.9,69.32,19.27,0.1723,1.2403,0.6988,0.6772,1.1738,0.0271,1.1647,166,26.24038182
950,28.83,69.46,19.24,0.1743,1.2244,0.6864,0.6727,1.1687,0.0266,1.1517,167,26.33043636
951,28.8,69.63,19.25,0.1713,1.2439,0.6981,0.6745,1.1679,0.0268,1.1583,167,26.34734545
952,28.86,69.61,19.29,0.1691,1.2476,0.6991,0.6734,1.1685,0.027,1.16,168,26.44588182
953,28.9,69.53,19.31,0.1703,1.2887,0.6979,0.6727,1.1715,0.027,1.1634,168,26.44831818
954,28.9,69.5,19.3,0.1737,1.2468,0.6905,0.6729,1.1719,0.027,1.1655,168,26.44075455
955,28.9,69.44,19.29,0.1711,1.2502,0.6958,0.6703,1.1729,0.0268,1.1661,168,26.43483636
956,28.91,69.44,19.3,0.171,1.2485,0.6878,0.6728,1.1724,0.027,1.1653,169,26.5268
957,28.92,69.38,19.29,0.1701,1.2472,0.6878,0.6734,1.1716,0.0269,1.1646,169,26.52105455
958,28.94,69.35,19.3,0.1718,1.2483,0.6998,0.6713,1.1723,0.0269,1.1655,170,26.61326364
959,28.94,69.35,19.3,0.1703,1.2482,0.6935,0.6736,1.171,0.0269,1.1657,170,26.61265455
960,28.95,69.33,19.31,0.1728,1.289,0.6922,0.6743,1.1725,0.027,1.1664,171,26.70765455
961,28.94,69.29,19.29,0.17,1.2467,0.692,0.6753,1.1722,0.027,1.1655,171,26.69715455
962,28.96,69.3,19.31,0.1714,1.2479,0.692,0.6716,1.1719,0.027,1.1655,172,26.79248182
963,28.96,69.3,19.31,0.1706,1.2478,0.6947,0.6732,1.1716,0.0269,1.167,172,26.79289091
964,28.97,69.27,19.31,0.1687,1.2484,0.6902,0.6721,1.1713,0.0269,1.1666,173,26.88129091
965,28.97,69.24,19.31,0.1689,1.2886,0.6995,0.6693,1.1691,0.0269,1.1654,174,26.97342727
966,28.96,69.24,19.3,0.1688,1.2471,0.6946,0.6743,1.1713,0.0269,1.1657,174,26.96806364
967,28.98,69.21,19.31,0.1711,1.2485,0.6902,0.6729,1.1687,0.0269,1.1654,175,27.05851818
968,28.98,69.21,19.31,0.1706,1.2883,0.6936,0.6726,1.1703,0.027,1.1668,175,27.06265455
969,28.99,69.18,19.31,0.1688,1.2483,0.6955,0.6713,1.2108,0.0269,1.1681,176,27.15179091
970,28.98,69.18,19.3,0.1713,1.2881,0.6961,0.6751,1.1723,0.027,1.1682,176,27.15073636
971,28.95,69.21,19.28,0.168,1.2432,0.6982,0.671,1.1723,0.0268,1.1665,176,27.14418182
972,28.96,69.21,19.29,0.1721,1.2461,0.69,0.6684,1.1715,0.0269,1.1638,177,27.23625455
973,29,69.18,19.32,0.1686,1.2474,0.686,0.6738,1.1737,0.0269,1.1654,177,27.24016364
974,28.99,69.18,19.31,0.172,1.2489,0.6886,0.6719,1.174,0.0269,1.1657,177,27.23890909
975,29,69.18,19.32,0.1684,1.2469,0.692,0.6741,1.1734,0.027,1.1653,178,27.33155455
976,28.99,69.18,19.31,0.1696,1.2476,0.6956,0.6739,1.1737,0.027,1.1655,178,27.33026364
977,29.03,68.95,19.3,0.1723,1.288,0.6927,0.6752,1.1823,0.027,1.1686,178,27.31691818
978,29.04,69.01,19.31,0.1703,1.2884,0.6945,0.6702,1.1803,0.027,1.1685,178,27.32356364
979,29.05,68.95,19.31,0.1727,1.288,0.698,0.6715,1.1792,0.027,1.1674,178,27.31943636
980,29.05,69.01,19.32,0.1689,1.247,0.6899,0.6711,1.1774,0.027,1.1675,178,27.3208
981,29.04,69.04,19.32,0.1685,1.2435,0.6888,0.677,1.1746,0.0269,1.1668,177,27.23146364
982,29.04,69.07,19.33,0.1707,1.2467,0.6836,0.6741,1.1727,0.0269,1.1657,177,27.23458182
983,29.04,69.04,19.32,0.1683,1.2483,0.6927,0.6715,1.1728,0.027,1.1655,176,27.14055455
984,29.06,69.04,19.33,0.1705,1.2478,0.6897,0.6683,1.172,0.027,1.1662,175,27.05195455
985,29.02,69.13,19.32,0.1693,1.2487,0.6953,0.6701,1.1726,0.0268,1.1666,175,27.05630909
986,29.06,69.04,19.33,0.1679,1.2473,0.6859,0.6741,1.1709,0.0269,1.1666,174,26.96087273
987,29.03,69.04,19.31,0.1688,1.2475,0.6884,0.6699,1.1728,0.0269,1.1677,174,26.95654545
988,29.04,69.04,19.32,0.169,1.2485,0.6831,0.6747,1.1723,0.0269,1.1672,174,26.95833636
989,29.06,69.04,19.33,0.1678,1.2465,0.6906,0.6771,1.1728,0.0269,1.1666,172,26.77984545
990,29.05,69.04,19.33,0.1698,1.2478,0.683,0.6711,1.1746,0.0269,1.1676,172,26.77825455
991,29.06,69.04,19.33,0.168,1.2461,0.6963,0.6731,1.1737,0.027,1.1673,171,26.68922727
992,29.06,69.04,19.33,0.1705,1.2472,0.6953,0.6712,1.1749,0.027,1.1681,169,26.50765455
993,29.04,69.07,19.33,0.1688,1.2881,0.6897,0.6745,1.1742,0.027,1.1673,168,26.42087273
994,29.04,69.04,19.32,0.1705,1.248,0.6875,0.6722,1.1746,0.027,1.168,167,26.32252727
995,29.04,69.04,19.32,0.1685,1.2477,0.6911,0.674,1.1731,0.027,1.1675,166,26.23171818
996,29.06,69.04,19.33,0.1685,1.2485,0.6951,0.6702,1.1735,0.027,1.1677,166,26.23459091
997,29.05,69.04,19.33,0.171,1.2885,0.6972,0.6714,1.1741,0.027,1.1676,165,26.14698182
998,29.06,69.04,19.33,0.1675,1.2483,0.6875,0.6725,1.1731,0.027,1.1668,165,26.14297273
999,29.06,69.01,19.33,0.1703,1.2481,0.693,0.6723,1.1744,0.027,1.1684,165,26.14122727
1000,29.05,69.04,19.33,0.1677,1.2479,0.6972,0.6702,1.1737,0.027,1.1675,165,26.14283636
1001,29.06,69.01,19.33,0.1714,1.2884,0.6981,0.6719,1.1739,0.027,1.167,166,26.23615455
1002,29.06,69.01,19.33,0.1672,1.2483,0.6887,0.6698,1.1737,0.0268,1.1675,166,26.23109091
1003,29.06,69.01,19.33,0.1676,1.2477,0.6931,0.671,1.1732,0.027,1.1682,167,26.32252727
1004,29.06,69.01,19.33,0.17,1.2468,0.6865,0.6703,1.173,0.027,1.1677,167,26.32193636
1005,29.06,69.01,19.33,0.1682,1.2483,0.6971,0.671,1.1727,0.0267,1.1662,167,26.32274545
1006,29.06,68.98,19.32,0.1695,1.2878,0.6973,0.6723,1.1723,0.0269,1.1663,168,26.41385455
1007,29.07,68.98,19.33,0.1678,1.2472,0.6888,0.6757,1.1735,0.027,1.1673,168,26.41157273
1008,29.06,68.98,19.32,0.1683,1.2463,0.6925,0.6725,1.1731,0.027,1.1672,168,26.40971818
1009,29.08,68.99,19.34,0.1696,1.2472,0.6892,0.675,1.1714,0.0269,1.1667,168,26.41418182
1010,29.07,68.98,19.33,0.1683,1.2475,0.6941,0.6696,1.1721,0.0269,1.1667,168,26.41138182
1011,29.07,68.95,19.33,0.1709,1.2196,0.6925,0.6715,1.1741,0.0268,1.1686,167,26.31581818
1012,29.08,68.96,19.33,0.1673,1.2463,0.6997,0.6701,1.1752,0.027,1.1696,167,26.32047273
1013,29.08,68.96,19.33,0.1708,1.2465,0.6893,0.6728,1.1749,0.0269,1.1691,167,26.32002727
1014,29.08,68.93,19.33,0.1698,1.2485,0.6949,0.673,1.1752,0.0269,1.1689,167,26.31792727
1015,29.07,68.92,19.32,0.1677,1.247,0.6963,0.6738,1.1732,0.0269,1.168,166,26.2239
1016,29.09,68.96,19.34,0.1688,1.2476,0.6946,0.6699,1.1727,0.0269,1.1675,166,26.23072727
1017,29.08,68.96,19.33,0.1682,1.2476,0.6937,0.6738,1.1734,0.027,1.1688,166,26.22931818
1018,29.09,68.96,19.34,0.171,1.246,0.6964,0.671,1.1735,0.027,1.1699,165,26.14043636
1019,29.1,68.96,19.35,0.1687,1.2488,0.6873,0.672,1.1732,0.027,1.1685,165,26.14140909
1020,29.09,68.96,19.34,0.1699,1.248,0.6862,0.6719,1.1735,0.0269,1.1677,164,26.04855455
1021,29.08,68.96,19.33,0.1683,1.2477,0.6936,0.6708,1.1741,0.027,1.167,164,26.04713636
1022,29.1,68.96,19.35,0.1677,1.2468,0.6942,0.6728,1.1737,0.027,1.1677,163,25.95999091
1023,29.09,68.96,19.34,0.1693,1.2486,0.6913,0.6743,1.1729,0.0269,1.1676,163,25.95826364
1024,29.1,68.93,19.34,0.1679,1.2456,0.6918,0.6746,1.1726,0.027,1.1647,163,25.95583636
1025,29.08,68.96,19.33,0.1698,1.2469,0.6889,0.6704,1.1748,0.027,1.1662,163,25.95581818
1026,29.1,68.96,19.35,0.1672,1.247,0.6992,0.6726,1.175,0.0269,1.1674,163,25.96048182
1027,29.11,68.93,19.35,0.1704,1.2889,0.6945,0.6709,1.1764,0.0269,1.1683,163,25.96239091
1028,29.11,68.96,19.36,0.1675,1.2466,0.6876,0.6719,1.1746,0.027,1.1661,163,25.96102727
1029,29.1,68.96,19.35,0.1713,1.2484,0.6973,0.6732,1.1748,0.027,1.1675,164,26.05177273
1030,29.1,68.96,19.35,0.1706,1.2474,0.6941,0.6729,1.1741,0.0269,1.1678,166,26.23307273
1031,29.1,68.99,19.35,0.168,1.2464,0.6916,0.6715,1.1735,0.0269,1.1682,167,26.32600909
1032,29.11,69.02,19.37,0.1709,1.2877,0.7001,0.6717,1.1733,0.027,1.1673,167,26.33618182
1033,29.11,69.02,19.37,0.1687,1.2479,0.694,0.6744,1.173,0.0268,1.1667,168,26.42286364
1034,29.11,69.05,19.37,0.1709,1.2884,0.6936,0.6718,1.1735,0.0269,1.1661,169,26.52010909
1035,29.11,69.05,19.37,0.1693,1.2436,0.6854,0.6709,1.1735,0.0266,1.1665,169,26.51507273
1036,29.11,69.02,19.37,0.1675,1.2455,0.6908,0.6718,1.1733,0.0269,1.1675,172,26.78575455
1037,29.11,69.05,19.37,0.1704,1.2466,0.6905,0.6718,1.1728,0.0269,1.1658,173,26.87952727
1038,29.11,69.05,19.37,0.1678,1.2464,0.6929,0.6694,1.1747,0.0269,1.1669,175,27.06136364
1039,29.11,69.05,19.37,0.1699,1.2484,0.6992,0.672,1.1753,0.0267,1.1672,176,27.15351818
1040,29.11,69.05,19.37,0.1701,1.2484,0.6949,0.6691,1.1743,0.027,1.1667,177,27.24368182
1041,29.11,69.05,19.37,0.1679,1.2451,0.6963,0.6712,1.1731,0.0269,1.1661,178,27.33423636
1042,29.12,69.05,19.38,0.1696,1.2466,0.6868,0.675,1.1742,0.0269,1.1664,179,27.42686364
1043,29.11,69.08,19.38,0.1684,1.2476,0.6928,0.6712,1.1737,0.027,1.1661,180,27.51970909
1044,29.12,69.05,19.38,0.1694,1.2428,0.6964,0.6695,1.1721,0.0269,1.1655,181,27.60841818
1045,29.12,69.05,19.38,0.1698,1.2459,0.7001,0.6724,1.1715,0.027,1.1653,181,27.60927273
1046,29.11,69.02,19.37,0.1684,1.2464,0.6911,0.6702,1.1736,0.0268,1.1669,182,27.69485455
1047,29.14,69.03,19.39,0.1671,1.2465,0.6832,0.6707,1.1735,0.0268,1.1663,182,27.69946364
1048,29.13,69.03,19.38,0.1696,1.2473,0.6895,0.6728,1.174,0.0269,1.168,182,27.69891818
1049,29.14,69,19.39,0.1673,1.248,0.694,0.6693,1.1747,0.0268,1.1692,181,27.60720909
1050,29.13,69.03,19.38,0.1677,1.2381,0.6998,0.673,1.1732,0.0269,1.169,181,27.60797273
1051,29.12,68.99,19.37,0.1684,1.2434,0.7004,0.6721,1.1749,0.027,1.1701,180,27.51239091
1052,29.14,69,19.39,0.1696,1.2459,0.6987,0.6721,1.1759,0.0269,1.1696,179,27.42624545
1053,29.13,69.03,19.38,0.1695,1.2482,0.6879,0.6736,1.1743,0.0269,1.1685,177,27.24444545
1054,29.14,69,19.39,0.1668,1.2474,0.6916,0.6749,1.1732,0.0269,1.1675,177,27.24348182
1055,29.13,69,19.38,0.1682,1.2451,0.7006,0.6698,1.1731,0.0269,1.1673,176,27.151
1056,29.13,69,19.38,0.1667,1.2461,0.6956,0.6732,1.1711,0.0269,1.1674,175,27.05972727
1057,29.15,68.94,19.38,0.1687,1.247,0.6889,0.6727,1.1749,0.0269,1.1702,173,26.87448182
1058,29.15,68.94,19.38,0.1673,1.2462,0.6942,0.6715,1.1755,0.0268,1.1694,173,26.87462727
1059,29.13,69,19.38,0.1687,1.247,0.6924,0.6721,1.1749,0.027,1.168,173,26.87819091
1060,29.13,69,19.38,0.1671,1.245,0.6923,0.6727,1.1751,0.0269,1.1682,173,26.87793636
1061,29.15,68.97,19.39,0.1673,1.2449,0.6894,0.6749,1.1757,0.0269,1.1686,173,26.87797273
1062,29.14,68.97,19.38,0.1709,1.2445,0.6942,0.6753,1.1742,0.0267,1.1639,173,26.87633636
1063,29.13,68.96,19.37,0.168,1.2138,0.69,0.6696,1.1742,0.027,1.1658,174,26.96076364
1064,29.12,68.93,19.36,0.1701,1.2455,0.6855,0.6739,1.1733,0.0269,1.1657,174,26.95917273
1065,29.14,68.94,19.38,0.1671,1.2471,0.6867,0.6732,1.1725,0.0269,1.1667,174,26.96365455
1066,29.14,68.94,19.38,0.1707,1.2472,0.6946,0.6727,1.1738,0.027,1.1689,173,26.87408182
1067,29.15,68.88,19.37,0.1684,1.2482,0.6905,0.6744,1.1745,0.0267,1.1685,173,26.86829091
1068,29.15,68.91,19.38,0.1694,1.2341,0.6945,0.6755,1.1743,0.0269,1.1689,173,26.87123636
